Altium Designer Pick and Place Locations
C:\Users\Khai\Desktop\ENEL 400\F17-Humanitarian-Hummingbird\BrushlessMotorController\PCB_BrushlessMotorController\Project Outputs for PCB_BrushlessMotorController\Pick Place for ESC_PCB.csv

========================================================================================================================
File Design Information:

Date:       26-01-26
Time:       11:21
Revision:   c7c1edf2870fd149a7dbfe57921f9344095f1084
Variant:    No variations
Units used: mm

"Designator","Comment","Layer","Footprint","Center-X(mm)","Center-Y(mm)","Rotation","Description"
"C27D","UWT1V221MNL1GS","BottomLayer","FP-UWT1V221MNL1GS-MFG","17.2466","7.2390","90","CAP ALUM 220UF 20% 35V SMD"
"C27C","UWT1V221MNL1GS","TopLayer","FP-UWT1V221MNL1GS-MFG","-16.8402","6.8834","90","CAP ALUM 220UF 20% 35V SMD"
"C27B","UWT1V221MNL1GS","BottomLayer","FP-UWT1V221MNL1GS-MFG","17.1450","-5.6146","270","CAP ALUM 220UF 20% 35V SMD"
"C27A","UWT1V221MNL1GS","BottomLayer","FP-UWT1V221MNL1GS-MFG","-17.0688","-3.0480","90","CAP ALUM 220UF 20% 35V SMD"
"C26D","1uF","TopLayer","CAP_0603","57.6643","-28.9500","90",""
"C26C","1uF","TopLayer","CAP_0603","57.6643","-41.9802","90",""
"C26B","1uF","TopLayer","CAP_0603","100.3363","44.4052","90",""
"C26A","1uF","TopLayer","CAP_0603","-36.9004","121.3672","90",""
"U3D","DRV8329BREER","TopLayer","DRV8329BREER","10.4648","8.7376","90","60V three-phase gate driver with single current-sense amplifier 36-WQFN -40 to 125"
"U3C","DRV8329BREER","BottomLayer","DRV8329BREER","-10.1028","9.9774","90","60V three-phase gate driver with single current-sense amplifier 36-WQFN -40 to 125"
"U3B","DRV8329BREER","TopLayer","DRV8329BREER","5.5132","-13.1865","0","60V three-phase gate driver with single current-sense amplifier 36-WQFN -40 to 125"
"U3A","DRV8329BREER","TopLayer","DRV8329BREER","-14.7268","-5.7258","270","60V three-phase gate driver with single current-sense amplifier 36-WQFN -40 to 125"
"S13","Solder Pad","TopLayer","Solder_Pad","-19.3479","-25.6836","135",""
"R14D","10k","BottomLayer","RES_0603","6.9850","5.7150","90","CRCW0603100KFKEA 100mW Thick Film Resistors 75V ±100ppm/? ±1% 100kO 0603 Chip Resistor - Surface Mount ROHS"
"R14C","10k","BottomLayer","RES_0603","-5.1562","8.0772","180","CRCW0603100KFKEA 100mW Thick Film Resistors 75V ±100ppm/? ±1% 100kO 0603 Chip Resistor - Surface Mount ROHS"
"R14B","10k","BottomLayer","RES_0603","2.4398","-8.7923","0","CRCW0603100KFKEA 100mW Thick Film Resistors 75V ±100ppm/? ±1% 100kO 0603 Chip Resistor - Surface Mount ROHS"
"R14A","10k","BottomLayer","RES_0603","-10.3326","-2.6524","270","CRCW0603100KFKEA 100mW Thick Film Resistors 75V ±100ppm/? ±1% 100kO 0603 Chip Resistor - Surface Mount ROHS"
"R13D","10k","TopLayer","RES_0603","9.9060","4.9038","90","RC0603FR-0710KL 100mW Thick Film Resistors ±100ppm/? ±1% 10kO 0603 Chip Resistor - Surface Mount ROHS"
"R13C","10k","BottomLayer","RES_0603","-9.5440","6.1436","90","RC0603FR-0710KL 100mW Thick Film Resistors ±100ppm/? ±1% 10kO 0603 Chip Resistor - Surface Mount ROHS"
"R13B","10k","TopLayer","RES_0603","1.7018","-12.4714","0","RC0603FR-0710KL 100mW Thick Film Resistors ±100ppm/? ±1% 10kO 0603 Chip Resistor - Surface Mount ROHS"
"R13A","10k","TopLayer","RES_0603","-14.1680","-1.8920","270","RC0603FR-0710KL 100mW Thick Film Resistors ±100ppm/? ±1% 10kO 0603 Chip Resistor - Surface Mount ROHS"
"R12D","10k","BottomLayer","RES_0603","9.9060","3.4290","90","RC0603FR-0710KL 100mW Thick Film Resistors ±100ppm/? ±1% 10kO 0603 Chip Resistor - Surface Mount ROHS"
"R12C","10k","TopLayer","RES_0603","-9.5440","4.6688","90","RC0603FR-0710KL 100mW Thick Film Resistors ±100ppm/? ±1% 10kO 0603 Chip Resistor - Surface Mount ROHS"
"R12B","10k","TopLayer","RES_0603","1.7780","-10.2108","0","RC0603FR-0710KL 100mW Thick Film Resistors ±100ppm/? ±1% 10kO 0603 Chip Resistor - Surface Mount ROHS"
"R12A","10k","TopLayer","RES_0603","-11.7511","-1.9906","270","RC0603FR-0710KL 100mW Thick Film Resistors ±100ppm/? ±1% 10kO 0603 Chip Resistor - Surface Mount ROHS"
